cpu=0,cpu=20,cpu=40,cpu=60,cpu=80
-7.349,13.906,-10.214,78.99,-137.064
-22.436,-23.324,-71.384,-92.312,-49.932
1.799,-16.617,394.239,68.577,427.654
-9.668,-2.365,41.286,-70.445,-0.727
2.879,13.975,-138.366,-49.55,-48.348
102.264,-58.733,-33.423,-84.241,-87.739
-20.443,-17.998,176.721,-106.872,-90.075
-21.867,-21.944,-42.9,172.96,228.563
8.618,-64.755,-3.133,-8.525,-83.402
-15.325,-56.894,-67.223,-26.723,335.79
2.969,360.149,-54.499,-33.08,-60.15
25.387,-68.807,-33.178,-32.95,-112.113
-3.279,-24.719,-77.359,167.054,-82.001
-49.175,-76.109,-42.72,-66.851,167.97
3.712,-11.226,141.257,-108.927,-118.562
-3.028,-17.227,-39.701,-36.198,-54.339
2.199,-27.267,-6.001,23.064,-68.73
-10.45,38.322,-73.768,-57.705,155.93
0.279,-55.568,-10.927,-51.574,-77.752
3.939,-7.194,-53.707,-27.572,414.877
0.175,214.532,343.404,-51.484,-33.77
-2.185,-12.873,-69.812,42.326,-46.837
12.116,-3.47,-62.889,127.151,213.499
12.022,240.731,-72.886,-89.688,-69.125
-11.72,-28.168,377.856,-13.059,-89.72
-15.838,0.764,-35.551,-22.572,301.747
28.569,-16.054,-44.709,-85.907,-111.098
-26.71,22.765,184.949,-46.369,-78.354
-11.673,-14.96,-21.912,18.489,-81.804
3.597,0.931,-56.088,-30.016,217.614
20.348,74.688,-72.478,13.913,-27.771
113.473,10.451,-45.348,164.456,-65.132
-23.344,-17.296,-62.678,14.242,-98.914
-16.018,94.966,-114.892,-43.5,279.958
1.786,10.649,-52.318,131.345,-62.004
17.33,-12.038,-88.362,-19.11,-75.458
-37.83,11.398,-38.954,81.572,128.154
44.592,-39.287,-134.446,-18.807,-78.947
-5.073,-22.682,-68.689,-62.838,-92.056
24.034,75.35,-62.021,-64.519,-33.432
-0.77,32.036,-77.134,-14.494,-102.032
-7.744,-60.907,-55.387,-2.156,154.224
19.231,-12.13,-27.682,-5.766,-73.932
-8.758,-38.035,-47.019,-19.442,-112.19
-33.33,-31.254,-36.492,60.169,-91.436
16.874,-35.842,-53.198,58.527,55.593
-26.833,-25.949,-35.306,-43.77,-16.106
-7.91,6.14,-12.33,-24.457,-43.301
38.084,-23.683,-74.465,2.319,-97.623
5.866,1.685,-34.907,-40.407,-84.037
-66.782,-14.099,-46.113,-125.73,314.186
0.861,-12.918,-104.563,-120.367,173.338
-9.656,-8.433,-15.428,-34.634,185.197
-7.209,-18.673,289.285,24.092,-166.915
-1.213,-9.705,-39.28,199.518,-85.718
4.713,-7.019,-79.416,-72.022,82.567
44.291,3.252,-55.082,49.548,-11.046
17.478,-11.211,-31.229,-34.229,-111.517
74.482,-57.684,-74.369,-82.718,-113.036
-33.685,25.041,299.069,85.35,147.528
-24.536,20.029,-12.398,31.988,165.172
33.214,-25.879,-55.96,25.692,-89.933
27.689,-34.114,-51.972,-4.782,-90.643
-18.874,-26.692,-51.401,-60.871,-104.576
3.333,7.304,-49.109,-7.701,35.524
3.26,28.021,-95.045,-14.601,1.018
-9.115,-17.412,-64.145,294.348,-44.544
-11.196,51.972,20.307,-22.593,-14.686
61.096,18.083,397.943,-54.057,-108.516
-16.467,-4.105,-98.355,5.105,24.076
-5.606,9.302,-78.135,-59.596,-112.898
31.712,-47.636,-29.418,-10.597,-86.986
-42.735,13.76,-110.55,-42.189,-91.294
25.471,18.513,-57.13,-32.879,89.77
2.452,2.204,-9.65,-33.353,361.507
-9.034,-0.989,-93.239,-33.012,6.546
14.511,-19.92,-78.609,54.013,-82.807
7.748,-14.138,-69.548,-99.054,-105.803
-6.656,221.868,-35.814,12.57,-12.5
-20.694,-17.762,-24.787,127.023,-48.698
-6.271,29.159,-85.896,-17.934,-68.559
-3.419,13.689,-132.662,-1.032,-115.689
-1.124,54.207,5.961,159.165,-60.099
2.835,-23.519,-29.516,86.815,-91.633
-30.55,-11.439,3.263,149.896,-9.911
73.214,171.055,-53.103,60.734,-96.964
33.053,-13.874,-41.448,56.143,-2.093
-19.696,-14.64,-64.051,-6.125,-29.596
4.074,-18.541,-34.692,242.688,-77.428
0.587,28.342,-100.054,-61.328,-69.189
-2.445,-24.612,-71.809,-9.695,-118.293
-5.309,-16.37,-39.845,115.52,-68.148
-3.103,15.328,-47.603,-50.558,419.042
-14.279,-17.137,-51.379,46.269,114.007
6.804,-9.272,-67.453,-44.336,-71.28
22.925,5.919,149.035,-25.587,-42.083
-49.821,-36.509,-122.668,45.378,-92.679
14.02,9.089,-19.587,-62.458,481.62
-35.977,-16.026,-96.063,306.959,186.088
-20.006,-10.218,-0.955,-64.176,-55.074
-12.842,207.875,-31.941,65.037,-32.795
-4.553,11.768,109.062,74.151,-41.831
-23.71,-31.016,-57.629,-118.765,-63.197
-17.235,40.141,-33.187,95.369,-37.31
-1.734,-12.573,-19.607,47.897,1.997
-13.756,29.489,-63.121,-1.706,372.085
10.475,106.03,-35.25,-24.296,-112.18
8.474,-10.043,-85.235,23.595,-42.223
-60.47,23.886,54.34,18.059,-88.413
-0.575,-35.852,-16.454,-59.307,62.055
-2.072,-6.358,-40.061,3.292,-24.781
-14.246,16.057,-120.029,-46.003,-56.544
40.762,-83.554,7.381,-55.733,-74.388
-23.363,-28.577,-50.241,-39.131,-109.834
2.186,-22.116,0.885,93.586,-88.896
-6.526,-25.1,-5.944,-27.102,-71.347
-13.951,120.905,-13.144,-40.755,-99.349
-3.392,-21.389,23.854,3.277,-70.713
28.484,60.204,11.245,-64.321,36.025
-2.009,-28.433,224.82,142.417,131.743
-7.643,-54.057,-13.717,-7.925,-57.389
23.107,13.055,-81.477,-72.863,-26.071
8.355,8.053,296.544,67.993,-36.778
-3.555,-6.307,-43.371,4.014,-43.837
26.51,12.071,-43.343,-15.205,-50.948
-19.045,-15.43,-46.435,-72.876,30.307
1.261,-63.725,-5.295,41.461,103.05
28.694,30.852,175.561,-29.459,-1.604
-14.679,4.594,-61.247,202.464,-94.426
-16.656,13.547,-68.271,-92.118,-92.298
16.894,-35.208,285.646,-22.134,6.468
-15.531,81.007,-26.901,179.504,-2.244
-35.408,34.196,-74.156,-9.44,-76.613
-8.93,6.817,537.404,-130.395,-62.494
-23.244,-6.07,-31.125,-54.05,13.419
-8.348,-17.787,-80.712,-18.879,-25.457
-3.008,-10.057,397.447,-20.866,-7.598
2.567,-7.26,-44.118,36.82,-39.646
33.677,14.702,-144.349,-31.926,-64.252
17.194,-5.232,-133.06,40.897,49.064
2.681,-33.481,432.414,0.695,251.501
-4.644,27.7,-8.531,-96.686,-76.186
18.252,-9.334,-17.984,12.641,-50.793
-19.546,-11.481,1.027,-43.946,-65.027
-0.644,-5.546,126.094,-31.274,280.534
7.43,94.336,-56.63,-25.882,121.919
-27.74,40.297,-52.866,-14.437,159.58
-12.488,-38.438,-22.608,271.947,-2.964
-5.595,25.431,117.272,-2.647,0.059
-3.88,21.891,-28.431,-35.505,37.876
7.167,1.221,-18.549,-44.196,-60.369
-7.776,19.349,-18.089,10.842,-81.517
19.584,14.872,-38.496,-64.199,-45.709
-18.685,-23.69,-21.518,197.779,-4.077
-11.666,-81.824,-9.913,-18.306,306.905
-22.285,-72.386,-33.658,21.293,51.976
-36.754,-34.32,-42.507,-30.479,-129.658
28.822,15.007,201.7,99.611,-65.912
25.974,-19.407,-37.468,82.282,-66.434
-19.304,219.347,-32.24,-80.206,-80.64
-18.933,20.286,-19.293,53.494,-83.823
-1.513,-1.998,-41.149,-65.164,328.837
-15.498,-4.075,-39.301,198.14,251.33
-34.234,-50.65,-58.502,-83.616,188.857
49.078,-24.841,-64.107,0.699,-80.36
-3.36,-6.465,289.248,-51.883,-48.514
7.293,-67.577,-29.298,-84.534,-3.031
-36.763,-106.534,-92.957,40.24,-82.221
-119.056,4.343,-77.598,-74.884,-88.026
7.077,-29.285,-93.447,-97.997,-73.921
-9.175,-38.516,-12.142,-114.003,-53.481
-11.944,-6.225,-41.006,2.883,566.933
-17.036,-0.801,-31.098,23.754,126.567
41.894,-32.813,-7.738,22.84,-96.739
-16.741,99.507,-30.726,139.505,-69.356
-8.702,2.637,107.558,-42.366,-122.093
18.15,53.708,-6.602,-2.795,-13.955
-28.531,-32.532,48.876,61.07,-65.955
-6.216,-33.486,-47.712,-24.568,-26.755
-38.336,22.215,63.342,76.261,90.64
4.186,-29.062,-66.109,-45.651,-47.012
7.511,-0.967,-31.421,-10.093,348.884
1.69,24.369,310.924,190.474,142.024
-4.656,-15.649,-101.619,5.412,-72.149
-12.132,13.419,-18.244,-84.257,188.438
28.725,4.419,229.467,-15.015,-90.043
-1.005,-27.804,-51.415,45.167,-86.679
2.673,-20.769,-20.604,-72.217,-49.899
-13.331,-9.634,-91.336,-13.671,25.516
-12.989,18.72,685.972,97.471,12.629
-1.502,-65.861,-87.198,35.181,34.929
-17.526,-5.823,-19.22,-77.502,-47.847
27.734,-27.91,255.407,9.285,-30.741
18.783,29.856,-32.807,84.064,1.641
57.527,-3.03,-108.946,-26.037,-34.384
-1.59,8.156,-50.437,23.089,25.994
-17.643,111.575,222.022,252.141,224.415
5.817,42.324,19.151,7.665,-30.69
-13.182,-28.089,-21.547,-53.249,-70.641
-17.748,-18.343,-68.077,21.517,6.163
30.096,11.887,-47.667,-32.312,-20.039
-16.401,14.688,-35.986,-29.033,-51.52
-27.62,-27.484,-26.892,182.275,-26.479
-3.546,1.3,-48.753,142.778,11.818
6.141,119.654,-35.649,-92.08,25.931
26.04,32.255,-9.028,-15.072,75.522
49.166,-4.528,189.487,-72.661,116.681
3.71,-13.714,-34.296,-37.699,-76.687
-11.048,-28.347,-33.595,-67.51,-72.433
-11.7,-7.355,623.055,-15.372,31.173
-9.66,-28.512,-43.538,-16.698,-27.733
-2.893,-27.182,-91.308,-32.695,10.188
38.236,-20.463,-43.509,62.706,-30.592
-10.308,0.041,-32.487,-21.619,-61.567
-12.299,-6.398,57.974,2.862,326.885
-5.256,-12.333,347.794,60.442,201.671
15.179,2.877,-52.339,28.336,174.434
4.105,-28.59,-36.513,-31.575,-47.369
30.857,-2.407,-26.172,20.239,-54.294
-1.953,-15.934,237.347,-33.927,-41.806
78.767,-54.204,-102.155,-30.784,-17.481
-31.158,-10.831,-103.244,-6.803,-28.557
26.092,-20.215,349.562,-2.143,-80.635
-14.992,-34.436,-23.357,121.436,-99.681
-38.528,-14.649,-41.895,-23.965,-87.257
13.046,-23.901,-65.194,-40.601,24.587
-15.435,-13.153,-31.323,239.509,-90.195
-4.303,-20.911,-58.456,-124.414,-63.295
-8.365,-18.101,-60.312,112.115,-22.746
1.891,-28.532,-101.703,-9.498,-38.455
-6.164,-11.772,-77.652,-80.281,-76.788
8.251,-25.046,-46.694,102.825,-35.596
-17.049,-18.911,-16.843,-116.092,-60.238
-10.337,-21.515,316.319,17.568,187.845
-10.601,-59.49,-19.03,-19.078,28.11
4.111,-57.305,-120.857,40.103,-42.067
-22.123,24.313,-19.054,215.959,-98.622
1.05,47.765,15.947,-78.245,-51.283
-0.836,35.581,-44.3,-12.87,-98.14
66.065,-34.644,-68.196,-123.563,-89.849
17.638,-29.678,-2.208,49.943,-6.578
-9.481,17.007,-108.255,-15.702,-93.854
-2.586,-30.353,-86.826,7.984,-46.328
-8.536,7.982,-12.537,-13.051,180.433
25.59,-5.968,-71.115,-25.4,48.773
-18.796,-13.888,-26.329,-28.138,-25.389
84.156,56.782,-4.466,30.333,-76.84
25.577,13.542,38.265,-0.538,-206.499
2.067,10.676,-37.393,-68.879,-187.854
14.551,-40.588,120.044,-59.607,-69.214
-7.178,-1.155,42.359,-82.173,-28.071
-15.254,-19.219,-64.352,-37.539,-114.024
-1.399,-25.142,640.564,-31.386,-2.917
-34.337,16.42,-72.808,-24.032,76.091
-7.455,-10.521,-65.048,15.338,44.079
-7.807,-39.814,261.015,1.154,-56.774
10.485,0.634,-35.973,-30.416,-35.892
8.557,-56.941,-71.556,29.344,-28.931
1.229,-35.864,191.015,-96.715,-29.999
12.701,27.349,-70.96,81.954,-97.093
15.372,24.848,-48.418,-65.347,-80.179
40.21,-38.408,271.607,43.313,-17.352
-27.745,-2.047,-22.864,-10.221,68.41
8.041,-38.68,-7.225,87.158,26.263
-12.268,-14.678,-107.945,-62.988,92.082
12.342,-7.415,-90.676,-31.114,-31.109
-23.355,139.899,-19.019,225.687,-53.775
34.95,4.651,-43.752,-54.265,-41.214
23.839,-23.725,-59.883,-29.006,-0.184
15.169,-5.929,-25.375,-67.114,442.579
31.412,253.324,-90.772,2.731,206.871
-11.809,-52.579,-83.783,-83.455,-59.536
27.314,25.502,-55.396,-76.098,-115.956
61.291,-43.673,-58.064,-43.239,-69.404
-5.694,-14.977,-58.705,-91.371,-89.242
-10.843,-11.274,-80.299,105.286,-53.067
-7.692,-31.995,-112.49,-16.891,5.491
10.904,3.902,-78.433,8.263,-58.821
3.461,5.333,-76.366,-26.112,-37.455
7.859,-3.254,173.742,-56.805,134.317
-0.619,64.93,-120.017,25.357,-6.166
9.947,-17.428,-61.255,94.146,36.609
18.63,-25.067,-35.006,-39.448,-10.494
16.074,24.267,-29.274,-66.712,-39.997
6.921,131.576,-46.866,64.351,51.047
16.019,8.342,113.717,73.325,-15.97
-28.399,-14.977,474.689,-84.427,-38.055
16.662,-31.606,-60.467,273.058,145.9
-0.535,44.796,-47.275,-34.609,17.764
10.863,-25.164,65.446,-20.972,210.19
-23.937,-0.394,-33.883,5.079,-24.684
-14.482,26.42,-30.223,-24.309,-39.507
44.471,18.654,208.768,9.778,-92.628
14.667,-30.474,-2.199,34.637,-54.937
-11.04,-41.076,-80.135,-0.005,-63.893
3.244,-13.924,-51.134,-19.444,-12.666
-24.546,14.733,-63.055,-15.903,-96.963
10.818,-27.446,-11.324,-21.674,-49.166
-47.99,-13.235,-55.314,-47.093,12.052
-1.919,-30.281,307.593,-51.771,72.712
-28.311,-21.237,-12.582,-10.873,-46.208
-8.577,-22.71,-66.851,-90.752,-59.961
-12.861,-7.71,-60.001,69,-29.567
0.687,11.734,-22.987,-9.876,-0.751
-1.895,-3.357,-38.769,129.118,81.389
12.526,-20.486,-126.914,-45.878,204.712
13.867,17.751,-63.046,-10.028,81.038
5.87,5.849,-45.804,-64.982,-131.401
4.553,-9.422,-30.453,28.124,-76.804
8.04,-89.881,-7.55,-53.528,-43.834
-31.681,-15.267,-75.282,45.168,-70.884
35.06,-32.419,-104.784,-24.291,11.251
17.962,38.756,533.633,-14.498,20.642
-18.337,9.543,-15.201,7.518,-32.236
36.237,15.119,-79.977,-40.049,22.65
-13.19,-2.69,-88.918,18.486,122.122
-19.348,0.653,-4.288,-4.969,-43.962
1.929,6.613,-22.864,104.042,-40.69
-5.664,-15.988,-68.18,-41.47,-59.6
-12.003,50.034,-27.657,13.601,163.25
6.033,-29.616,-11.652,-36.48,398.814
16.726,-112.385,85.555,138.014,-22.883
-83.065,29.428,6.029,-103.347,29.132
33.698,-15.938,-32.125,-63.634,-26.621
9.46,20.852,292.648,-25.161,195.209
-17.414,94.351,-9.365,-11.586,-68.392
2.29,-10.224,-44.009,-65.559,-84.21
58.063,-5.617,-60.59,196.225,-88.056
-1.851,12.703,-66.496,-20.252,-54.844
-18.349,-18.263,-16.944,-63.015,1.808
-21.756,-22.94,-159.973,-96.257,68.471
-13.446,1.52,-65.522,35.186,81.9
-18.151,102.136,-45.261,205.128,-45.213
38.394,14.39,-48.654,-49.146,1.192
-22.846,-15.606,-5.784,-29.557,-29.832
17.944,-9.919,-89.213,85.3,-14.499
-10.832,-3.842,-7.125,122.382,-61.169
-8.792,34.922,32.57,-93.203,-19.413
4.849,18.92,22.021,1.474,-66.77
-0.225,-1.407,-38.293,-70.678,-3.652
4.835,0.993,-38.723,-89.61,2.529
21.575,-37.722,-26.02,107.924,-46.579
-2.378,-0.47,19.223,30.257,-5.998
-24.985,108.114,-39.938,-43.515,-41.381
-15.335,186.227,429.641,-24.331,8.691
8.982,-28.879,3.701,-77.97,-24.918
-25.965,-9.018,-40.504,0.933,84.859
19.434,18.479,199.133,0.426,10.761
1.554,0.545,11.973,-24.007,-78.965
-4.739,-0.4,-53.285,-27.213,-43.624
1.871,18.948,-63.378,-40.751,-68.012
-14.426,22.319,-38.805,-50.256,-36.107
49.099,30.303,-97.062,1.868,660.79
